Cost Account,New Cost Account,Percentage
SPL-CHEF,458-50,0.075
SPL-CHEF,454-50,0.1
SPL-CHEF,488-50,0.05
SPL-CHEF,450-50,0.2
SPL-CHEF,444-50,0.05
SPL-CHEF,449-50,0.05
SPL-CHEF,460-50,0.075
SPL-CHEF,446-50,0.05
SPL-CHEF,421-50,0.125
SPL-CHEF,422-50,0.125
SPL-CHEF,423-50,0.05
SPL-CHEF,427-50,0.05
SPL-CULI,460-50,0.125
SPL-CULI,458-50,0.125
SPL-CULI,444-50,0.125
SPL-CULI,454-50,0.125
SPL-CULI,488-50,0.125
SPL-CULI,446-50,0.125
SPL-CULI,450-50,0.125
SPL-CULI,449-50,0.125
SPL-HOST,470-65,0.8
SPL-HOST,470-66,0.2
SPL-PAST,460-50,0.125
SPL-PAST,458-50,0.3
SPL-PAST,444-50,0.15
SPL-PAST,454-50,0.05
SPL-PAST,488-50,0.075
SPL-PAST,446-50,0.05
SPL-PAST,450-50,0.2
SPL-PAST,449-50,0.05
SPL-PIZA,458-50,0.2
SPL-PIZA,444-50,0.4
SPL-PIZA,488-50,0.1
SPL-PIZA,446-50,0.1
SPL-PIZA,450-50,0.1
SPL-PIZA,449-50,0.1
SPL-PROD,458-50,0.5
SPL-PROD,444-50,0.35
SPL-PROD,446-50,0.15
SPL-STEW,460-50,0.05
SPL-STEW,458-50,0.2
SPL-STEW,444-50,0.2
SPL-STEW,454-50,0.2
SPL-STEW,488-50,0.075
SPL-STEW,446-50,0.075
SPL-STEW,450-50,0.1
SPL-STEW,449-50,0.1
SPL-TABG,442-30,0.5
SPL-TABG,448-30,0.5
SPL-VMGR,442-30,0.5
SPL-VMGR,448-30,0.5
SPL-MARK,470-65,0.15
SPL-MARK,470-66,0.05
SPL-MARK,460-60,0.1
SPL-MARK,910-95,0.7
SPL-HOTE,460-30,0.08
SPL-HOTE,458-30,0.08
SPL-HOTE,454-30,0.2
SPL-HOTE,488-30,0.04
SPL-HOTE,450-30,0.28
SPL-HOTE,449-50,0.06
SPL-HOTE,444-30,0.22
SPL-HOTE,446-30,0.04
SPL-ROOM,488-50,0.43
SPL-ROOM,449-50,0.57
SPL-QDEC,444-30,0.5
SPL-QDEC,446-30,0.5
SPL-PALM,488-50,0.25
SPL-PALM,450-50,0.5
SPL-PALM,449-50,0.25
SPL-CODY,460-30,0.08
SPL-CODY,458-30,0.08
SPL-CODY,454-30,0.12
SPL-CODY,488-30,0.04
SPL-CODY,450-30,0.16
SPL-CODY,449-50,0.06
SPL-CODY,444-30,0.22
SPL-CODY,446-30,0.04
SPL-CODY,600-20,0.2
SPL-KIMBI,470-65,0.3
SPL-KIMBI,470-66,0.2
SPL-KIMBI,910-95,0.5
SPL-EMILY,470-65,0.3
SPL-EMILY,470-66,0.2
SPL-EMILY,460-60,0.1
SPL-EMILY,910-95,0.4
SPL-BRENT,480-70,1
SPL-BEC,910-90,0.6
SPL-BEC,600-20,0.4
SPL-IRVM,470-65,0.5
SPL-IRVM,470-66,0.5
