Location Name,Team Name,Cost Centre,Location Code,Location Address,Public Holiday region,Mobile login radius,Timezone
Cage,Front Window,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Manager - Cage,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Cashier,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Count Cashier,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Main Bank,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Count Manager - Soft - CL7,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Shift Manager - CL7,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Uncategorised Shifts,910-9000,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Inductions,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Cage Certificate Training,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Front Window - Orpheus,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Front Window - CL4,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Count Cashier - CL3,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Main Bank - CL5,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Front Window - Orpheus CL4,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Main Bank - CL6,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Cage Operations Manager,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Cage,Training,470-6800,Ca,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Casino Compliance,Compliance Administrator,910-9100,CC,"67 Sir Leslie Thiess Dr, Townsville, QLD, 4810, AUSTRALIA",au_qld,100,Australia/Brisbane
Casino Compliance,Induction,910-9100,CC,"67 Sir Leslie Thiess Dr, Townsville, QLD, 4810, AUSTRALIA",au_qld,100,Australia/Brisbane
Compliance & Risk,Compliance Administrator,910-9100,Com,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",au_qld,100,Australia/Brisbane
Compliance & Risk,Induction,910-9100,Com,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",au_qld,100,Australia/Brisbane
Compliance & Risk,Emergency Management & WHS Officer,910-9100,Com,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",au_qld,100,Australia/Brisbane
Compliance & Risk,Senior Anti Money Laundering Administrator,910-9100,Com,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",au_qld,100,Australia/Brisbane
Compliance & Risk,Patron Care Officer,910-9100,Com,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",au_qld,100,Australia/Brisbane
Compliance & Risk,Anti Money Laundering Administrator,910-9100,Com,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",au_qld,100,Australia/Brisbane
Compliance & Risk,Patron Care Manager,910-9100,Com,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",au_qld,100,Australia/Brisbane
Compliance & Risk,WHS & Rehabilitation Co-ordinator,910-9100,Com,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",au_qld,100,Australia/Brisbane
Compliance & Risk,Anti Money Laundering Analyst,910-9100,Com,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",au_qld,100,Australia/Brisbane
Contractors - Tecc,Cleaner,,Contra,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,
Culinary,TSV - EO Apprentice,460-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - EO Chef,460-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - EO Cook,460-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - IRD Apprentice,488-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - IRD Chef,488-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - IRD Cook,488-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - MS Chef,454-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - MS Apprentice,454-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PH Apprentice,450-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PH Chef,450-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PH Cook,450-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PA Apprentice,SPL-PAST,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PA Chef,SPL-PAST,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PZ4 Chef,SPL-PIZA,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PZ4 Apprentice,SPL-PIZA,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PZ4 Cook,SPL-PIZA,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PR Apprentice,SPL-PROD,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PR Chef,SPL-PROD,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PR Cook,SPL-PROD,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - QD Apprentice,444-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - QD Chef,444-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - QD Cook,444-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - Spin Chef,458-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - Spin Cook,458-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - OPH Cook,449-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Chef De Partie,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Executive Sous Chef,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - MS Cook,454-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PA Cook,SPL-PAST,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - Splash Chef,446-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - Splash Apprentice,446-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - Splash Cook,446-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Northern Escape Collection,100-1000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1. Inductions,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Culinary Certificate Training,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Culinary - Gaming,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - EO Training,460-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - IRD Training,488-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - MS Training,454-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PA Training,SPL-PAST,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PH Training,450-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PR Training,SPL-PROD,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - QD Training,444-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - Splash Training,446-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - Spin Apprentice,458-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - Spin Training,458-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - OPH Apprentice,449-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - OPH Chef,449-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - OPH Training,449-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TSV - PZ4 Training,SPL-PIZA,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Apprentice,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Cook Grade 1,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Cook Grade 2,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Commi,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Demi,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Senior Chef De Partie,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Junior Sous Chef,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Sous Chef,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Head Chef,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,1 Executive Chef,SPL-CULI,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TECC - Chef,700-2000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TECC - Cook,700-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TECC - Apprentice,700-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,TECC - Training,700-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Marmor Apprentice,421-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Marmor Chef,421-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Marmor - Cook,421-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Marmor Training,421-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Terasu Cook,422-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Terasu Apprentice,422-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Terasu Chef,422-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Terasu Training,422-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Rooftop Chef,423-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Rooftop Apprentice,423-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Rooftop Cook,423-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Rooftop Training,423-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - IRD Chef,427-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - IRD Cook,427-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - IRD Apprentice,427-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - IRD Training,427-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Pool Side Chef,424-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Pool Side Apprentice,424-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Pool Side Cook,424-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,A - Pool Side Training,424-5000,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
Culinary,Uncategorised Shifts,ERROR! Uncategorised Shift,C,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
"Data, Performance and Technical Services",EGM Product Manager,470-6500,DPTS,"67 Sir Leslie Thiess Dr, Townsville QLD 4810, Aus",,100,Australia/Brisbane
